"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
2,4,3,0,1,0,7,"NO"
11,2,31,0,8,21,40,"NO"
58,1,73,0,13,105,313,"NO"
18,2,57,4,14,21,71,"NO"
14,2,25,0,7,45,50,"NO"
6,1,16,0,5,10,19,"NO"
39,2,75,1,15,190,182,"YES"
4,2,4,0,5,1,14,"NO"
10,3,10,0,6,6,29,"NO"
2,1,7,0,5,1,12,"NO"
104,1,175,0,27,136,507,"YES"
17,1,45,0,9,10,115,"NO"
25,1,23,15,33,66,90,"NO"
3,2,5,1,2,3,10,"NO"
3,1,7,0,5,1,15,"NO"
4,3,4,1,6,6,17,"NO"
13,1,25,0,9,21,60,"NO"
1,1,6,3,4,10,3,"NO"
3,2,6,0,3,3,12,"NO"
17,2,28,0,11,28,75,"NO"
5,1,7,0,2,3,22,"NO"
44,2,24,0,1,15,281,"NO"
6,3,13,0,3,3,29,"NO"
4,4,6,0,3,1,19,"NO"
4,1,11,0,5,6,14,"NO"
4,3,12,0,4,6,16,"NO"
32,3,64,0,3,55,115,"NO"
46,2,94,1,36,210,149,"NO"
5,2,14,0,6,10,26,"NO"
16,1,30,0,9,36,79,"NO"
3,2,4,0,5,3,9,"NO"
3,2,5,42,5,3,10,"YES"
26,3,8,0,3,1,140,"NO"
23,1,49,16,103,66,84,"NO"
8,3,14,0,7,6,30,"YES"
16,3,24,0,5,45,61,"NO"
27,2,71,0,13,36,153,"YES"
4,1,16,0,3,1,33,"NO"
4,1,25,0,7,6,52,"NO"
6,1,12,6,1,6,24,"NO"
3,2,9,1,2,3,11,"NO"
18,1,30,0,7,45,60,"NO"
48,1,147,0,21,78,232,"NO"
95,1,76,19,25,325,306,"NO"
9,3,28,0,8,3,38,"NO"
2,1,5,0,2,1,5,"NO"
4,3,14,0,5,1,19,"NO"
31,2,34,0,3,105,129,"NO"
44,1,68,0,4,136,173,"NO"
10,2,23,1,6,21,38,"NO"
8,2,12,0,5,10,32,"NO"
301,1,167,0,4,496,947,"NO"
5,2,14,0,5,3,19,"NO"
12,3,18,0,4,15,41,"NO"
4,1,7,0,2,3,16,"NO"
6,2,10,0,2,15,23,"NO"
17,1,26,0,5,6,57,"NO"
2,3,8,0,5,1,14,"NO"
7,2,15,0,13,15,22,"NO"
1,1,1,0,0,0,3,"NO"
5,1,18,0,7,6,21,"NO"
141,2,90,0,1,78,788,"NO"
2,1,3,0,6,1,7,"NO"
61,3,97,0,18,253,195,"NO"
3,2,3,0,1,1,11,"NO"
3,1,11,0,3,0,22,"NO"
2,1,5,16,18,3,6,"NO"
2,2,10,0,4,1,14,"NO"
1,1,1,0,1,0,3,"NO"
5,2,11,0,5,6,18,"NO"
46,1,86,0,29,105,280,"NO"
1,1,1,0,4,0,3,"NO"
24,2,60,2,2,276,82,"NO"
2,1,3,0,4,1,13,"NO"
15,2,28,0,14,36,131,"NO"
22,2,44,0,7,21,101,"NO"
5,3,10,0,5,3,22,"NO"
2,1,4,0,4,1,7,"NO"
2,1,16,0,4,1,21,"NO"
29,1,33,0,4,120,115,"NO"
1,1,1,0,1,0,3,"NO"
8,3,10,0,5,1,38,"NO"
11,1,7,0,8,21,33,"YES"
10,1,35,0,8,10,70,"NO"
64,1,40,0,6,171,271,"NO"
12,1,24,0,7,21,40,"NO"
2,1,18,0,8,1,56,"NO"
79,1,150,0,17,36,427,"YES"
3,1,6,1,4,1,8,"NO"
3,2,8,0,3,1,13,"NO"
26,2,44,0,7,66,132,"NO"
3,1,5,22,90,6,7,"YES"
4,2,14,0,4,6,31,"NO"
164,1,157,0,5,231,312,"NO"
6,3,12,0,5,6,18,"NO"
4,2,4,0,1,6,11,"NO"
24,1,23,0,5,3,87,"NO"
10,2,25,1,80,21,30,"NO"
13,3,33,1,27,45,36,"NO"
38,1,45,0,0,1,72,"NO"
27,1,78,0,10,45,185,"NO"
27,1,56,0,18,15,126,"NO"
2,2,7,0,4,1,11,"NO"
10,1,22,0,6,3,60,"NO"
9,3,14,4,10,15,28,"NO"
41,2,25,0,11,10,123,"NO"
19,3,29,0,8,21,81,"NO"
2,1,27,0,15,1,51,"NO"
42,2,76,0,10,45,129,"NO"
0,1,2,1,1,1,0,"NO"
11,1,10,0,2,28,42,"NO"
4,1,8,0,3,6,18,"NO"
26,2,53,0,6,45,81,"NO"
1,2,6,0,3,1,7,"NO"
19,1,30,5,33,105,61,"NO"
11,2,40,0,5,28,48,"NO"
2,3,4,0,3,1,7,"NO"
5,4,3,0,3,1,14,"NO"
18,1,19,1,5,15,66,"NO"
8,3,13,0,5,10,43,"NO"
4,2,5,1,7,3,10,"NO"
11,3,8,0,12,1,32,"NO"
6,3,8,1,2,15,18,"NO"
18,1,12,0,3,15,62,"NO"
16,2,34,0,4,28,83,"NO"
4,3,6,0,14,1,17,"NO"
7,1,14,0,6,3,34,"NO"
2,1,4,0,2,3,9,"NO"
16,2,34,0,6,28,92,"NO"
11,1,11,0,5,55,37,"NO"
33,3,65,0,24,78,113,"NO"
2,1,4,0,2,3,9,"NO"
31,1,54,20,43,210,93,"NO"
55,1,115,5,17,136,177,"NO"
11,1,12,0,3,10,22,"NO"
9,2,17,0,3,36,27,"NO"
21,3,44,0,16,36,88,"NO"
2,1,8,0,5,1,20,"NO"
0,2,1,2,1,0,0,"NO"
3,2,9,0,3,3,9,"NO"
15,3,19,0,3,10,61,"NO"
2,3,4,1,2,1,7,"NO"
11,1,28,3,19,66,31,"NO"
3,1,3,0,2,3,9,"NO"
6,1,14,0,5,1,28,"NO"
3,2,8,0,47,3,12,"NO"
11,2,41,0,9,10,66,"NO"
18,3,41,0,15,66,73,"NO"
1,2,14,1,3,0,24,"NO"
31,2,43,0,10,36,186,"NO"
3,2,5,0,2,1,11,"NO"
18,4,41,1,8,28,55,"NO"
11,1,18,0,3,15,45,"NO"
19,1,24,0,3,91,75,"NO"
8,1,8,0,1,28,24,"NO"
7,2,13,4,5,28,23,"NO"
11,2,16,2,6,15,54,"YES"
54,3,49,1,12,105,85,"YES"
5,4,4,0,1,3,14,"NO"
22,1,52,0,11,15,147,"NO"
58,2,165,0,26,45,319,"NO"
4,1,12,0,4,1,13,"NO"
4,3,13,0,8,1,23,"NO"
10,1,4,0,1,3,38,"YES"
32,1,42,0,39,55,141,"NO"
19,1,25,0,2,10,73,"NO"
33,2,73,0,10,153,265,"NO"
1,3,3,0,3,0,11,"NO"
26,3,15,0,6,6,75,"YES"
10,3,17,0,21,21,36,"NO"
10,2,14,0,2,10,35,"NO"
11,2,29,0,4,55,45,"NO"
15,1,42,0,12,3,77,"NO"
4,2,10,0,3,6,16,"NO"
10,1,36,0,14,21,50,"NO"
2,1,10,0,6,1,26,"NO"
116,2,63,0,1,28,644,"NO"
5,1,15,0,10,6,21,"NO"
9,2,10,1,5,6,32,"NO"
75,3,124,1,14,435,300,"YES"
7,2,16,0,10,15,32,"NO"
12,1,28,1,12,78,52,"NO"
0,1,4,3,3,6,0,"NO"
7,3,11,0,2,3,30,"NO"
17,1,26,0,5,6,57,"NO"
6,3,10,0,4,1,34,"NO"
20,2,31,0,4,171,74,"NO"
3,1,6,0,8,1,16,"NO"
3,2,11,0,6,3,35,"NO"
3,2,4,0,3,6,7,"NO"
3,1,3,0,3,3,10,"NO"
10,1,50,0,15,3,92,"NO"
0,1,2,1,1,1,0,"NO"
140,2,77,0,1,78,747,"NO"
24,1,72,0,12,45,168,"NO"
12,2,22,0,4,21,37,"NO"
2,2,4,16,25,6,6,"NO"
102,1,143,0,4,153,289,"NO"
9,2,20,1,9,21,26,"YES"
1,1,3,0,0,0,5,"NO"
10,2,22,0,6,6,37,"NO"
109,2,60,0,1,28,615,"NO"
1,1,1,0,0,0,1,"NO"
8,3,19,0,7,10,25,"NO"
19,3,40,0,10,21,63,"NO"
51,2,80,0,7,120,151,"NO"
4,1,13,0,9,1,23,"NO"
3,1,8,0,4,1,12,"NO"
9,1,22,0,5,15,31,"NO"
6,2,15,0,5,3,35,"NO"
10,1,10,0,2,15,45,"NO"
128,1,174,0,4,210,482,"NO"
7,1,15,3,4,15,26,"NO"
14,2,18,5,9,36,38,"NO"
4,3,8,0,4,1,14,"NO"
64,1,160,0,14,210,268,"NO"
10,3,12,0,5,6,29,"NO"
2,2,6,6,12,10,6,"NO"
6,2,10,0,4,10,36,"NO"
130,2,85,0,1,55,753,"NO"
33,2,36,0,7,28,88,"NO"
6,3,8,0,2,1,18,"NO"
14,3,36,2,6,28,74,"NO"
21,1,67,0,15,66,137,"NO"
0,1,5,1,2,10,0,"NO"
13,3,24,0,3,28,62,"YES"
3,3,19,0,9,1,26,"NO"
14,3,15,0,3,6,66,"NO"
26,3,74,0,5,28,122,"NO"
20,1,31,1,6,28,63,"NO"
41,2,52,0,9,21,238,"NO"
4,1,13,0,5,3,32,"NO"
7,3,9,0,5,3,22,"NO"
32,3,66,0,4,28,141,"NO"
1,1,6,3,4,15,3,"NO"
13,1,14,0,4,45,50,"NO"
7,1,19,0,7,10,35,"YES"
28,2,54,0,28,55,90,"NO"
1,1,7,2,2,21,3,"NO"
4,1,12,0,7,3,32,"NO"
3,1,7,0,8,3,12,"NO"
28,3,27,0,9,36,85,"NO"
8,1,21,1,2,28,24,"YES"
17,1,27,1,6,36,60,"NO"
0,1,2,3,3,1,0,"NO"
9,3,33,2,8,10,45,"NO"
11,2,15,0,6,10,45,"NO"
60,1,119,0,17,120,332,"YES"
2,3,7,0,3,0,9,"NO"
5,1,2,0,2,1,19,"NO"
1,3,8,0,4,1,9,"NO"
44,1,92,0,14,6,204,"NO"
9,3,12,0,5,10,38,"NO"
98,2,59,0,1,66,540,"NO"
6,1,20,0,4,15,47,"NO"
0,1,2,12,18,1,0,"NO"
4,1,6,6,4,15,12,"NO"
82,2,88,1,11,861,335,"NO"
13,2,37,0,11,10,66,"NO"
6,1,20,0,4,15,45,"NO"
9,1,5,0,3,3,20,"NO"
2,1,27,0,16,1,53,"NO"
0,1,0,0,0,0,0,"NO"
6,2,14,0,5,6,19,"NO"
9,1,25,0,5,1,57,"NO"
3,3,8,0,4,1,15,"NO"
15,3,31,1,7,21,57,"NO"
31,1,33,1,6,45,140,"NO"
2,1,4,0,3,1,13,"YES"
1,2,2,0,1,1,3,"NO"
5,2,14,0,6,10,18,"NO"
32,2,64,0,10,78,189,"YES"
12,1,29,0,5,45,71,"NO"
8,1,17,0,7,6,36,"NO"
24,1,26,0,10,66,101,"NO"
6,1,7,0,2,3,17,"YES"
6,3,18,2,3,6,22,"YES"
6,4,12,0,3,10,22,"NO"
1,1,15,0,5,0,9,"NO"
17,1,26,0,5,6,57,"NO"
12,2,23,0,9,10,72,"NO"
24,1,73,0,12,45,183,"NO"
114,1,116,0,22,435,467,"YES"
2,4,3,0,2,1,6,"NO"
22,2,41,0,8,55,116,"YES"
1,2,9,0,8,0,11,"NO"
0,1,0,1,0,0,0,"NO"
31,2,69,4,12,120,116,"YES"
6,2,10,1,5,6,18,"NO"
2,3,6,0,2,1,6,"YES"
22,2,25,0,7,55,96,"NO"
23,1,53,0,10,3,88,"NO"
12,3,13,0,5,10,33,"NO"
66,1,130,0,17,91,319,"YES"
351,2,259,0,1,153,2032,"NO"
40,1,80,0,12,78,188,"NO"
21,1,16,0,2,28,53,"NO"
2,1,4,0,3,1,7,"NO"
2,4,3,2,3,1,6,"NO"
14,2,31,3,9,66,56,"NO"
1,2,6,0,4,3,19,"NO"
8,3,25,0,6,1,39,"NO"
23,2,41,0,8,91,97,"NO"
22,2,55,2,26,66,114,"YES"
32,1,63,0,10,55,237,"NO"
7,3,8,0,5,1,21,"NO"
1,1,1,0,5,0,3,"NO"
20,1,47,0,8,36,81,"NO"
9,2,12,0,3,6,24,"NO"
13,1,26,0,6,3,44,"NO"
2,2,6,0,2,1,9,"NO"
27,1,63,0,48,153,132,"NO"
29,2,28,0,6,36,59,"NO"
11,1,12,0,6,10,77,"NO"
32,1,34,0,5,45,98,"YES"
6,2,7,0,2,15,13,"NO"
7,2,22,0,3,15,37,"NO"
4,2,11,0,3,6,14,"NO"
84,2,60,0,15,136,388,"NO"
17,3,25,0,5,28,78,"NO"
0,1,2,1,2,1,0,"NO"
42,2,75,0,21,105,140,"YES"
18,1,46,0,11,3,86,"NO"
9,1,19,0,3,3,51,"NO"
42,1,36,0,1,55,686,"NO"
6,2,9,0,4,10,21,"NO"
8,1,7,0,2,1,71,"YES"
1,2,2,0,2,1,4,"NO"
2,1,2,0,18,0,5,"NO"
10,1,10,0,4,3,56,"NO"
10,1,10,0,9,45,33,"NO"
3,2,8,0,74,3,12,"NO"
10,3,24,0,7,21,40,"NO"
16,1,13,0,6,6,55,"YES"
22,2,49,0,6,66,74,"NO"
18,4,24,0,5,3,81,"NO"
408,1,238,0,4,1275,1504,"NO"
8,1,7,0,2,0,18,"NO"
3,2,6,0,2,3,16,"NO"
36,3,72,0,10,105,147,"NO"
2,4,2,0,0,1,6,"NO"
23,2,37,0,5,21,125,"NO"
5,1,5,0,7,10,18,"NO"
3,1,3,0,0,3,8,"NO"
54,2,101,2,17,190,295,"YES"
8,3,13,0,4,10,39,"NO"
10,1,23,0,6,28,39,"NO"
17,2,23,0,7,55,96,"NO"
10,3,23,0,2,3,40,"NO"
5,1,10,0,7,10,25,"NO"
36,2,58,0,11,78,143,"NO"
12,1,40,0,8,3,66,"NO"
484,1,908,4,91,7875,2630,"YES"
11,1,34,0,5,3,60,"NO"
2,1,2,0,0,1,5,"NO"
44,3,8,0,4,3,216,"NO"
56,1,144,0,27,55,269,"NO"
14,3,27,0,4,10,29,"NO"
24,1,23,0,5,3,87,"NO"
58,2,118,0,10,136,276,"NO"
1,1,2,0,2,0,4,"NO"
59,1,100,0,9,36,270,"NO"
2,2,4,0,3,1,9,"NO"
1,1,8,0,4,1,10,"NO"
20,1,49,0,11,15,103,"NO"
164,2,102,0,1,66,924,"NO"
11,2,33,0,7,6,43,"NO"
41,2,23,0,1,15,265,"NO"
29,1,69,0,16,66,199,"NO"
53,1,107,0,29,528,306,"YES"
4,4,9,0,4,6,24,"YES"
3,2,6,0,3,1,11,"NO"
37,1,39,3,8,55,128,"NO"
24,2,41,0,9,28,73,"NO"
8,1,7,1,2,0,25,"NO"
19,1,24,0,3,91,75,"NO"
20,2,44,5,24,45,76,"NO"
50,1,277,0,27,153,469,"YES"
14,1,17,0,18,45,37,"NO"
3,3,6,0,2,3,9,"NO"
3,2,4,10,9,3,9,"NO"
11,1,15,1,4,45,41,"NO"
11,2,42,1,9,10,68,"NO"
48,1,74,0,16,105,176,"NO"
11,1,20,0,5,36,42,"NO"
27,1,52,0,15,6,117,"NO"
4,2,8,0,2,1,16,"NO"
33,1,84,0,11,45,226,"YES"
7,1,8,0,7,21,21,"NO"
6,1,10,0,5,6,20,"YES"
23,1,21,0,14,55,76,"NO"
9,3,13,3,3,36,28,"NO"
44,1,73,1,6,153,267,"NO"
5,2,12,0,6,3,26,"NO"
2,5,3,0,9,1,6,"NO"
14,1,27,0,8,6,61,"NO"
171,2,138,0,1,120,907,"NO"
11,1,17,0,3,3,49,"NO"
7,3,19,0,13,10,25,"NO"
10,2,24,0,12,36,48,"NO"
7,1,5,0,1,3,16,"NO"
1,2,1,0,1,0,4,"NO"
15,1,47,0,4,6,71,"NO"
6,1,6,0,4,3,29,"NO"
3,5,4,0,5,1,6,"NO"
5,1,12,0,5,6,86,"NO"
5,2,13,3,38,55,16,"NO"
0,1,4,1,2,6,0,"NO"
5,3,4,0,3,1,19,"NO"
4,2,3,0,2,1,16,"NO"
1,2,2,0,1,1,3,"NO"
12,1,14,0,4,15,23,"NO"
39,1,71,0,29,91,166,"NO"
7,2,12,2,1,21,21,"NO"
3,2,10,0,4,3,14,"NO"
4,1,11,0,6,6,14,"NO"
6,3,28,0,6,3,40,"NO"
7,4,31,0,7,3,40,"NO"
10,2,18,0,6,15,79,"NO"
5,2,8,0,5,3,16,"NO"
9,2,10,0,4,15,33,"NO"
29,2,52,0,8,45,166,"NO"
3,3,14,0,5,3,16,"NO"
3,2,8,0,6,3,12,"NO"
6,1,12,0,9,1,47,"NO"
7,1,9,0,4,21,24,"NO"
17,1,34,0,14,91,69,"NO"
1,1,1,1,1,0,4,"NO"
24,3,28,0,4,21,79,"NO"
2,1,4,0,2,3,9,"NO"
26,1,35,0,10,21,114,"NO"
6,2,10,0,4,10,44,"NO"
6,2,41,0,8,3,66,"NO"
2,1,3,0,4,3,5,"NO"
3,2,6,0,3,3,10,"NO"
334,1,184,0,3,496,1040,"NO"
16,1,2,0,2,0,41,"NO"
5,1,5,1,4,10,16,"NO"
290,1,345,5,73,2628,1009,"YES"
24,2,34,1,12,78,98,"NO"
20,2,16,1,5,28,68,"NO"
8,1,14,0,5,10,35,"NO"
6,2,18,0,6,15,32,"NO"
321,1,423,0,3,171,847,"NO"
40,4,30,0,6,10,139,"NO"
40,1,57,0,8,120,154,"NO"
13,2,35,0,4,36,80,"NO"
9,2,3,0,1,3,26,"NO"
16,2,35,0,6,28,88,"NO"
13,3,19,0,3,28,39,"NO"
