"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
3,1,4,0,2,3,10,"NO"
304,1,249,0,18,406,1003,"YES"
35,2,43,0,10,91,90,"YES"
0,1,0,0,0,0,0,"NO"
6,1,16,1,7,10,20,"YES"
17,1,21,0,7,21,57,"NO"
168,1,337,0,29,276,516,"YES"
20,1,24,0,3,190,64,"NO"
0,1,0,0,0,0,0,"NO"
12,3,16,0,9,21,25,"YES"
29,1,61,0,14,28,116,"NO"
3,1,4,0,4,3,9,"NO"
2,1,8,0,2,1,6,"NO"
66,1,101,0,6,28,262,"NO"
0,2,0,0,0,0,0,"NO"
30,1,37,0,8,45,78,"YES"
13,2,23,0,4,21,37,"YES"
40,1,80,0,10,55,200,"YES"
36,2,43,0,13,91,116,"YES"
7,2,12,0,3,21,26,"NO"
2,1,8,0,2,1,6,"NO"
67,1,65,0,23,120,285,"YES"
26,1,39,0,7,15,111,"YES"
195,2,322,0,22,990,513,"YES"
0,1,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
106,2,206,0,37,780,332,"YES"
